year,month,day,hour,portugal,spain
2002,1,1,1,7.521,45.2
2002,1,1,2,5.202999999999999,31.27
2002,1,1,3,3.784,22.74
2002,1,1,4,3.471,20.86
2002,1,1,5,3.414,20.52
2002,1,1,6,3.26,19.59
2002,1,1,7,3.256,19.57
2002,1,1,8,3.088,18.56
2002,1,1,9,3.047,18.31
2002,1,1,10,3.2430000000000003,19.49
2002,1,1,11,3.494,21.0
2002,1,1,12,4.662,28.02
2002,1,1,13,4.832,29.04
2002,1,1,14,4.832,29.04
2002,1,1,15,4.829,29.02
2002,1,1,16,3.787,22.76
2002,1,1,17,3.722,22.37
2002,1,1,18,4.829,29.02
2002,1,1,19,7.521,45.2
2002,1,1,20,8.504,51.11000000000001
2002,1,1,21,9.201,55.3
2002,1,1,22,9.401,56.5
2002,1,1,23,9.201,55.3
2002,1,1,24,9.209,55.35
2002,1,2,1,9.201,55.3
2002,1,2,2,5.073,30.49
2002,1,2,3,4.346,26.12
2002,1,2,4,4.042,24.290000000000003
2002,1,2,5,3.86,23.2
2002,1,2,6,3.82,22.96
2002,1,2,7,3.88,23.32
2002,1,2,8,3.827,23.0
2002,1,2,9,5.2,31.25
2002,1,2,10,7.798999999999999,46.870000000000005
2002,1,2,11,9.842,59.15
2002,1,2,12,11.647,70.0
2002,1,2,13,11.647,70.0
2002,1,2,14,10.08,60.58
2002,1,2,15,9.201,55.3
2002,1,2,16,8.318999999999999,50.0
2002,1,2,17,8.504,51.11000000000001
2002,1,2,18,9.74,58.54
2002,1,2,19,12.725,76.47999999999999
2002,1,2,20,12.725,76.47999999999999
2002,1,2,21,12.01,72.18
2002,1,2,22,11.915,71.61
2002,1,2,23,9.201,55.3
2002,1,2,24,9.209,55.35
2002,1,3,1,7.762,46.65
2002,1,3,2,5.7170000000000005,34.36000000000001
2002,1,3,3,5.476,32.910000000000004
2002,1,3,4,5.051,30.36
2002,1,3,5,4.92,29.57
2002,1,3,6,3.784,22.74
2002,1,3,7,5.354,32.18
2002,1,3,8,5.657,34.0
2002,1,3,9,6.02,36.18000000000001
2002,1,3,10,8.704,52.31
2002,1,3,11,9.802,58.91
2002,1,3,12,9.802,58.91
2002,1,3,13,9.802,58.91
2002,1,3,14,9.389,56.43
2002,1,3,15,8.274,49.73
2002,1,3,16,8.274,49.73
2002,1,3,17,8.274,49.73
2002,1,3,18,8.491,51.03
2002,1,3,19,10.341,62.15
2002,1,3,20,10.341,62.15
2002,1,3,21,9.842,59.15
2002,1,3,22,9.74,58.54
2002,1,3,23,8.7,52.29
2002,1,3,24,9.401,56.5
2002,1,4,1,7.65,45.98
2002,1,4,2,5.626,33.81
2002,1,4,3,5.367999999999999,32.260000000000005
2002,1,4,4,4.965,29.84
2002,1,4,5,3.571,21.46
2002,1,4,6,3.467,20.84
2002,1,4,7,4.92,29.57
2002,1,4,8,5.367999999999999,32.260000000000005
2002,1,4,9,5.827000000000001,35.02
2002,1,4,10,8.045,48.35
2002,1,4,11,9.802,58.91
2002,1,4,12,9.802,58.91
2002,1,4,13,9.802,58.91
2002,1,4,14,9.401,56.5
2002,1,4,15,7.962000000000001,47.85
2002,1,4,16,7.81,46.94
2002,1,4,17,7.81,46.94
2002,1,4,18,8.209,49.34
2002,1,4,19,10.08,60.58
2002,1,4,20,9.802,58.91
2002,1,4,21,9.74,58.54
2002,1,4,22,9.209,55.35
2002,1,4,23,8.209,49.34
2002,1,4,24,8.491,51.03
2002,1,5,1,7.808,46.93000000000001
2002,1,5,2,5.942,35.71
2002,1,5,3,5.629,33.83
2002,1,5,4,5.481,32.94
2002,1,5,5,5.143,30.910000000000004
2002,1,5,6,3.998,24.03
2002,1,5,7,4.987,29.97
2002,1,5,8,5.4510000000000005,32.760000000000005
2002,1,5,9,6.205,37.29
2002,1,5,10,7.071000000000001,42.5
2002,1,5,11,10.341,62.15
2002,1,5,12,11.647,70.0
2002,1,5,13,11.647,70.0
2002,1,5,14,10.12,60.82000000000001
2002,1,5,15,8.521,51.21000000000001
2002,1,5,16,8.209,49.34
2002,1,5,17,8.209,49.34
2002,1,5,18,8.735,52.5
2002,1,5,19,12.01,72.18
2002,1,5,20,12.01,72.18
2002,1,5,21,12.01,72.18
2002,1,5,22,11.647,70.0
2002,1,5,23,10.878,65.38
2002,1,5,24,12.01,72.18
2002,1,6,1,12.198,73.31
2002,1,6,2,8.241,49.53
2002,1,6,3,6.772,40.7
2002,1,6,4,5.158,31.0
2002,1,6,5,5.158,31.0
2002,1,6,6,4.958,29.8
2002,1,6,7,4.007,24.08
2002,1,6,8,3.494,21.0
2002,1,6,9,3.462,20.81
2002,1,6,10,4.01,24.1
2002,1,6,11,5.158,31.0
2002,1,6,12,6.97,41.89
2002,1,6,13,7.105,42.7
2002,1,6,14,7.105,42.7
2002,1,6,15,7.105,42.7
2002,1,6,16,6.657,40.010000000000005
2002,1,6,17,6.657,40.010000000000005
2002,1,6,18,6.823,41.01
2002,1,6,19,10.151,61.01
2002,1,6,20,10.878,65.38
2002,1,6,21,11.223,67.45
2002,1,6,22,12.01,72.18
2002,1,6,23,10.406,62.53999999999999
2002,1,6,24,10.878,65.38
2002,1,7,1,7.501,45.08
2002,1,7,2,5.644,33.92
2002,1,7,3,4.992,30.0
2002,1,7,4,3.705,22.27
2002,1,7,5,3.4410000000000003,20.68
2002,1,7,6,3.344,20.1
2002,1,7,7,4.962,29.82
2002,1,7,8,6.191,37.21
2002,1,7,9,5.977,35.92
2002,1,7,10,8.422,50.620000000000005
2002,1,7,11,9.99,60.03999999999999
2002,1,7,12,10.341,62.15
2002,1,7,13,10.341,62.15
2002,1,7,14,9.409,56.55
2002,1,7,15,8.491,51.03
2002,1,7,16,9.732,58.49
2002,1,7,17,9.409,56.55
2002,1,7,18,10.12,60.82000000000001
2002,1,7,19,12.151,73.03
