year,month,day,hour,portugal,spain,date,date_hour
2021,1,1,1,50.87,50.87,2021-01-01,2021-01-01 00:00:00
2021,1,1,2,48.19,48.19,2021-01-01,2021-01-01 01:00:00
2021,1,1,3,44.68,44.68,2021-01-01,2021-01-01 02:00:00
2021,1,1,4,38.5,38.5,2021-01-01,2021-01-01 03:00:00
2021,1,1,5,36.8,36.8,2021-01-01,2021-01-01 04:00:00
2021,1,1,6,36.55,36.55,2021-01-01,2021-01-01 05:00:00
2021,1,1,7,36.6,36.6,2021-01-01,2021-01-01 06:00:00
2021,1,1,8,36.55,36.55,2021-01-01,2021-01-01 07:00:00
2021,1,1,9,36.55,36.55,2021-01-01,2021-01-01 08:00:00
2021,1,1,10,36.55,36.55,2021-01-01,2021-01-01 09:00:00
2021,1,1,11,37.55,37.55,2021-01-01,2021-01-01 10:00:00
2021,1,1,12,37.55,37.55,2021-01-01,2021-01-01 11:00:00
2021,1,1,13,37.55,37.55,2021-01-01,2021-01-01 12:00:00
2021,1,1,14,37.55,37.55,2021-01-01,2021-01-01 13:00:00
2021,1,1,15,36.6,36.6,2021-01-01,2021-01-01 14:00:00
2021,1,1,16,35.5,35.5,2021-01-01,2021-01-01 15:00:00
2021,1,1,17,36.0,36.0,2021-01-01,2021-01-01 16:00:00
2021,1,1,18,38.5,38.5,2021-01-01,2021-01-01 17:00:00
2021,1,1,19,52.01,52.01,2021-01-01,2021-01-01 18:00:00
2021,1,1,20,55.16,55.16,2021-01-01,2021-01-01 19:00:00
2021,1,1,21,57.4,57.4,2021-01-01,2021-01-01 20:00:00
2021,1,1,22,53.86,53.86,2021-01-01,2021-01-01 21:00:00
2021,1,1,23,53.45,53.45,2021-01-01,2021-01-01 22:00:00
2021,1,1,24,49.72,49.72,2021-01-01,2021-01-01 23:00:00
2021,1,2,1,46.69,46.69,2021-01-02,2021-01-02 00:00:00
2021,1,2,2,42.43,42.43,2021-01-02,2021-01-02 01:00:00
2021,1,2,3,40.1,40.1,2021-01-02,2021-01-02 02:00:00
2021,1,2,4,39.11,39.11,2021-01-02,2021-01-02 03:00:00
2021,1,2,5,37.55,37.55,2021-01-02,2021-01-02 04:00:00
2021,1,2,6,37.7,37.7,2021-01-02,2021-01-02 05:00:00
2021,1,2,7,39.6,39.6,2021-01-02,2021-01-02 06:00:00
2021,1,2,8,43.34,43.34,2021-01-02,2021-01-02 07:00:00
2021,1,2,9,48.45,48.45,2021-01-02,2021-01-02 08:00:00
2021,1,2,10,51.6,51.6,2021-01-02,2021-01-02 09:00:00
2021,1,2,11,52.0,52.0,2021-01-02,2021-01-02 10:00:00
2021,1,2,12,51.25,51.25,2021-01-02,2021-01-02 11:00:00
2021,1,2,13,50.56,50.56,2021-01-02,2021-01-02 12:00:00
2021,1,2,14,50.57,50.57,2021-01-02,2021-01-02 13:00:00
2021,1,2,15,50.57,50.57,2021-01-02,2021-01-02 14:00:00
2021,1,2,16,48.45,48.45,2021-01-02,2021-01-02 15:00:00
2021,1,2,17,50.25,50.25,2021-01-02,2021-01-02 16:00:00
2021,1,2,18,54.23,54.23,2021-01-02,2021-01-02 17:00:00
2021,1,2,19,58.65,58.65,2021-01-02,2021-01-02 18:00:00
2021,1,2,20,60.43,60.43,2021-01-02,2021-01-02 19:00:00
2021,1,2,21,60.03,60.03,2021-01-02,2021-01-02 20:00:00
2021,1,2,22,55.03,55.03,2021-01-02,2021-01-02 21:00:00
2021,1,2,23,52.25,52.25,2021-01-02,2021-01-02 22:00:00
